chr,start,end,id,gene_id,strand
5,141350098,141350099,Q9Y5G3,ENSG00000254221,+
5,141359993,141359994,Q9Y5G2,ENSG00000253910,+
5,141370241,141370242,Q9Y5G1,ENSG00000262209,+
5,141397946,141397947,Q9Y5G0,ENSG00000276547,+
5,141408020,141408021,Q9Y5F9,ENSG00000253305,+
5,141417644,141417645,Q9Y5F8,ENSG00000254122,+
5,141484996,141484997,Q9Y5F7,ENSG00000242419,+
5,141489080,141489081,Q9Y5F6,ENSG00000240764,+
5,141051373,141051374,Q9Y5F3,ENSG00000171815,+
5,141199609,141199610,Q9Y5F2,ENSG00000197479,+
5,141208696,141208697,Q9Y5F1,ENSG00000120328,+
5,141213918,141213919,Q9Y5F0,ENSG00000187372,+
5,141223342,141223343,Q9Y5E9,ENSG00000120327,+
5,141245394,141245395,Q9Y5E8,ENSG00000113248,+
5,141094614,141094615,Q9Y5E7,ENSG00000112852,+
5,141100472,141100473,Q9Y5E6,ENSG00000113205,+
5,141121817,141121818,Q9Y5E5,ENSG00000081818,+
5,141135205,141135206,Q9Y5E4,ENSG00000113209,+
5,141150056,141150057,Q9Y5E3,ENSG00000113211,+
5,141172643,141172644,Q9Y5E2,ENSG00000113212,+
5,141187160,141187161,Q9Y5E1,ENSG00000177839,+
1,62597519,62597520,Q9Y5C1,ENSG00000132855,+
14,21384018,21384019,Q9Y5B9,ENSG00000092201,-
1,169367945,169367946,Q9Y5B8,ENSG00000143156,-
21,32771667,32771668,Q9Y5B6,ENSG00000159086,-
18,79679802,79679803,Q9Y5B0,ENSG00000060069,+
1,28736620,28736621,Q9Y5A9,ENSG00000198492,+
7,151341771,151341772,Q9Y5A7,ENSG00000013374,+
7,100049773,100049774,Q9Y5A6,ENSG00000166529,+
1,215567303,215567304,Q9Y597,ENSG00000136636,+
12,94459945,94459946,Q9Y592,ENSG00000173588,-
14,31025105,31025106,Q9Y587,ENSG00000100478,+
4,150582150,150582151,Q9Y586,ENSG00000181541,+
17,3197518,3197519,Q9Y585,ENSG00000172150,+
17,997128,997129,Q9Y584,ENSG00000177370,+
9,5185638,5185639,Q9Y581,ENSG00000120210,-
11,114400029,114400030,Q9Y580,ENSG00000076053,+
1,228416860,228416861,Q9Y577,ENSG00000162931,-
2,238426926,238426927,Q9Y576,ENSG00000065802,+
2,53860159,53860160,Q9Y575,ENSG00000115239,-
7,95485900,95485901,Q9Y574,ENSG00000005981,+
1,45750652,45750653,Q9Y573,ENSG00000197429,-
14,24339988,24339989,Q9Y572,ENSG00000129465,-
11,74171288,74171289,Q9Y570,ENSG00000214517,+
19,50719801,50719802,Q9Y566,ENSG00000161681,-
8,104589257,104589258,Q9Y561,ENSG00000147650,-
1,53889796,53889797,Q9Y548,ENSG00000058799,-
1,53945698,53945699,Q9Y547,ENSG00000081870,-
1,53946349,53946350,Q9Y546,ENSG00000116212,+
1,6424669,6424670,Q9Y543,ENSG00000069812,-
1,120889770,120889771,Q9Y536,ENSG00000263353,+
22,41544605,41544606,Q9Y535,ENSG00000100413,-
22,41561009,41561010,Q9Y534,ENSG00000172346,+
6,41072590,41072591,Q9Y530,ENSG00000124596,-
1,171485529,171485530,Q9Y520,ENSG00000117523,+
22,38273009,38273010,Q9Y519,ENSG00000198792,-
22,43955441,43955442,Q9Y512,ENSG00000100347,+
20,49936396,49936397,Q9Y508,ENSG00000124226,+
10,69573421,69573422,Q9Y4Z2,ENSG00000122859,-
19,18323075,18323076,Q9Y4Z0,ENSG00000130520,-
7,32495282,32495283,Q9Y4Y9,ENSG00000106355,-
15,72474329,72474330,Q9Y4X5,ENSG00000166233,+
13,74133928,74133929,Q9Y4X4,ENSG00000118922,-
9,34662656,34662657,Q9Y4X3,ENSG00000213927,-
X,110440232,110440233,Q9Y4X0,ENSG00000101935,-
18,12377226,12377227,Q9Y4W6,ENSG00000141385,-
X,65534786,65534787,Q9Y4W2,ENSG00000001497,-
1,45500299,45500300,Q9Y4U1,ENSG00000132763,+
16,1493359,1493360,Q9Y4R8,ENSG00000100726,+
3,9809987,9809988,Q9Y4R7,ENSG00000214021,+
20,3781447,3781448,Q9Y4P9,ENSG00000101222,-
7,5190195,5190196,Q9Y4P8,ENSG00000157954,+
7,73578578,73578579,Q9Y4P3,ENSG00000106638,-
2,241637212,241637213,Q9Y4P1,ENSG00000168397,+
1,145824094,145824095,Q9Y4L5,ENSG00000265491,-
11,119057023,119057024,Q9Y4L1,ENSG00000149428,-
14,50532608,50532609,Q9Y4K4,ENSG00000012983,-
11,36510271,36510272,Q9Y4K3,ENSG00000175104,-
6,106360716,106360717,Q9Y4K1,ENSG00000112297,+
8,23404119,23404120,Q9Y4K0,ENSG00000134013,-
18,34493303,34493304,Q9Y4J8,ENSG00000134769,+
11,68751519,68751520,Q9Y4I5,ENSG00000132749,-
15,52529131,52529132,Q9Y4I1,ENSG00000197535,-
6,32192642,32192643,Q9Y4H4,ENSG00000213654,-
13,109786582,109786583,Q9Y4H2,ENSG00000185950,-
4,159267736,159267737,Q9Y4G8,ENSG00000109756,+
15,62390549,62390550,Q9Y4G6,ENSG00000171914,+
17,45487857,45487858,Q9Y4G2,ENSG00000225190,-
6,24936051,24936052,Q9Y4F9,ENSG00000111913,-
14,104865267,104865268,Q9Y4F5,ENSG00000099814,+
14,44962207,44962208,Q9Y4F4,ENSG00000198718,+
16,15643107,15643108,Q9Y4F3,ENSG00000166783,-
13,98143093,98143094,Q9Y4F1,ENSG00000152767,+
12,62260337,62260338,Q9Y4E8,ENSG00000135655,+
18,56651358,56651359,Q9Y4E6,ENSG00000091157,+
6,57090029,57090030,Q9Y4E5,ENSG00000112200,+
10,45727218,45727219,Q9Y4E1,ENSG00000172661,+
3,129606675,129606676,Q9Y4D7,ENSG00000004399,-
11,61680390,61680391,Q9Y4D2,ENSG00000134780,+
14,59188666,59188667,Q9Y4D1,ENSG00000100592,+
12,113966324,113966325,Q9Y4C8,ENSG00000122965,-
3,143119770,143119771,Q9Y4C5,ENSG00000175040,+
8,8893629,8893630,Q9Y4C4,ENSG00000147324,-
7,143902175,143902176,Q9Y4C2,ENSG00000198420,-
2,86440800,86440801,Q9Y4C1,ENSG00000115548,+
14,78242390,78242391,Q9Y4C0,ENSG00000021645,+
3,51500014,51500015,Q9Y4B6,ENSG00000145041,-
18,8705555,8705556,Q9Y4B5,ENSG00000168502,+
3,51538718,51538719,Q9Y4B4,ENSG00000164080,+
19,15815663,15815664,Q9Y4A9,ENSG00000186723,-
7,26152197,26152198,Q9Y4A8,ENSG00000050344,+
7,98878489,98878490,Q9Y4A5,ENSG00000196367,+
11,96390012,96390013,Q9Y4A0,ENSG00000183340,+
5,132737637,132737638,Q9Y496,ENSG00000131437,-
7,100733594,100733595,Q9Y493,ENSG00000146839,+
9,35732194,35732195,Q9Y490,ENSG00000137076,-
12,123712352,123712353,Q9Y487,ENSG00000185344,+
5,119071489,119071490,Q9Y485,ENSG00000172869,+
X,49101120,49101121,Q9Y484,ENSG00000196998,-
1,93079234,93079235,Q9Y483,ENSG00000143033,+
12,119667863,119667864,Q9Y478,ENSG00000111725,+
19,51571282,51571283,Q9Y473,ENSG00000105497,+
20,43507709,43507710,Q9Y468,ENSG00000185513,+
14,21537215,21537216,Q9Y467,ENSG00000165821,-
6,108166021,108166022,Q9Y466,ENSG00000112333,+
19,39831866,39831867,Q9Y463,ENSG00000105204,-
X,85243990,85243991,Q9Y462,ENSG00000147180,+
HSCHRX_2_CTG12,74840,74841,Q9Y458,ENSG00000277800,-
6,135054883,135054884,Q9Y450,ENSG00000112339,-
15,40382720,40382721,Q9Y448,ENSG00000128944,+
11,394208,394209,Q9Y446,ENSG00000184363,+
21,41954017,41954018,Q9Y426,ENSG00000157617,-
19,16185379,16185380,Q9Y421,ENSG00000105058,+
20,36951892,36951893,Q9Y3Z3,ENSG00000101347,-
15,55588946,55588947,Q9Y3Y4,ENSG00000171016,-
1,153633981,153633982,Q9Y3Y2,ENSG00000160679,+
19,47256524,47256525,Q9Y3X0,ENSG00000105321,+
1,95234209,95234210,Q9Y3V2,ENSG00000122481,+
19,5674946,5674947,Q9Y3U8,ENSG00000130255,+
1,959255,959256,Q9Y3T9,ENSG00000188976,-
8,23287907,23287908,Q9Y3T6,ENSG00000104679,+
4,141220894,141220895,Q9Y3S2,ENSG00000109445,+
9,93184121,93184122,Q9Y3S1,ENSG00000165238,+
21,36156823,36156824,Q9Y3R5,ENSG00000142197,+
2,233032671,233032672,Q9Y3R4,ENSG00000115488,+
12,66679075,66679076,Q9Y3R0,ENSG00000155974,-
7,100479231,100479232,Q9Y3Q8,ENSG00000166925,-
8,39584567,39584568,Q9Y3Q7,ENSG00000168619,+
15,73368957,73368958,Q9Y3Q4,ENSG00000138622,-
15,79311111,79311112,Q9Y3Q3,ENSG00000166557,+
11,90134662,90134663,Q9Y3Q0,ENSG00000077616,+
9,122940832,122940833,Q9Y3P9,ENSG00000011454,+
9,35650930,35650931,Q9Y3P8,ENSG00000137078,-
22,29267980,29267981,Q9Y3P4,ENSG00000100263,-
6,29045174,29045175,Q9Y3N9,ENSG00000204704,-
20,25696852,25696853,Q9Y3M9,ENSG00000130684,-
13,33285754,33285755,Q9Y3M8,ENSG00000133121,-
22,38656637,38656638,Q9Y3M2,ENSG00000100211,+
X,132219446,132219447,Q9Y3L5,ENSG00000123728,-
22,37634653,37634654,Q9Y3L3,ENSG00000100092,+
22,32474810,32474811,Q9Y3I1,ENSG00000100225,+
22,32412246,32412247,Q9Y3I0,ENSG00000100220,-
12,15882386,15882387,Q9Y3F4,ENSG00000023734,+
2,86563478,86563479,Q9Y3E7,ENSG00000115561,-
17,59707429,59707430,Q9Y3E5,ENSG00000141378,-
1,149887889,149887890,Q9Y3E2,ENSG00000178096,+
15,83207822,83207823,Q9Y3E1,ENSG00000166503,-
12,21501788,21501789,Q9Y3E0,ENSG00000111711,+
17,57850043,57850044,Q9Y3D9,ENSG00000181610,-
5,69369519,69369520,Q9Y3D8,ENSG00000085231,-
16,4351320,4351321,Q9Y3D7,ENSG00000217930,-
7,101245080,101245081,Q9Y3D6,ENSG00000214253,-
4,83456057,83456058,Q9Y3D5,ENSG00000163319,+
10,73252643,73252644,Q9Y3D3,ENSG00000182180,-
10,23095578,23095579,Q9Y3D2,ENSG00000148450,+
16,66934401,66934402,Q9Y3D0,ENSG00000166595,-
1,161153977,161153978,Q9Y3C8,ENSG00000143222,+
17,6651604,6651605,Q9Y3C7,ENSG00000108590,-
6,36874802,36874803,Q9Y3C6,ENSG00000137168,-
1,51236272,51236273,Q9Y3C5,ENSG00000123091,+
2,73737399,73737400,Q9Y3C4,ENSG00000144034,-
5,176388926,176388927,Q9Y3C1,ENSG00000048162,-
12,102061990,102061991,Q9Y3C0,ENSG00000120860,-
1,218285292,218285293,Q9Y3B9,ENSG00000067533,+
11,114439466,114439467,Q9Y3B8,ENSG00000076043,+
11,66438847,66438848,Q9Y3B7,ENSG00000174547,-
14,24141584,24141585,Q9Y3B6,ENSG00000100908,-
2,24076325,24076326,Q9Y3B4,ENSG00000115128,-
5,115626035,115626036,Q9Y3B3,ENSG00000134970,-
10,97446005,97446006,Q9Y3B2,ENSG00000171311,-
20,59042804,59042805,Q9Y3B1,ENSG00000101166,-
1,93180412,93180413,Q9Y3A6,ENSG00000117500,-
7,66995692,66995693,Q9Y3A5,ENSG00000126524,-
22,42519795,42519796,Q9Y3A4,ENSG00000189306,-
2,197515570,197515571,Q9Y3A3,ENSG00000115540,+
1,38012733,38012734,Q9Y3A2,ENSG00000183520,+
9,128322838,128322839,Q9Y3A0,ENSG00000167113,+
9,135499983,135499984,Q9Y399,ENSG00000122140,+
X,129843885,129843886,Q9Y397,ENSG00000188706,-
14,60169855,60169856,Q9Y394,ENSG00000100612,-
X,130401986,130401987,Q9Y388,ENSG00000134597,+
6,89352721,89352722,Q9Y385,ENSG00000198833,-
7,139340358,139340359,Q9Y383,ENSG00000146963,+
2,230712841,230712842,Q9Y376,ENSG00000135932,+
15,41402518,41402519,Q9Y375,ENSG00000137806,-
1,86704569,86704570,Q9Y371,ENSG00000097033,+
20,43590936,43590937,Q9Y366,ENSG00000101052,+
11,72794046,72794047,Q9Y365,ENSG00000214530,-
11,20599607,20599608,Q9Y345,ENSG00000165970,+
5,122845517,122845518,Q9Y343,ENSG00000064652,+
16,57284671,57284672,Q9Y342,ENSG00000102934,-
19,50953092,50953093,Q9Y337,ENSG00000167754,-
19,51124905,51124906,Q9Y336,ENSG00000129450,+
6,31777327,31777328,Q9Y334,ENSG00000204396,-
6,31806965,31806966,Q9Y333,ENSG00000204392,-
6,31902085,31902086,Q9Y330,ENSG00000204366,-
5,174045705,174045706,Q9Y328,ENSG00000170091,+
14,74713143,74713144,Q9Y324,ENSG00000119616,+
11,57712592,57712593,Q9Y320,ENSG00000213593,+
2,32011007,32011008,Q9Y316,ENSG00000162959,-
12,15911331,15911332,Q9Y315,ENSG00000023697,+
19,49580555,49580556,Q9Y314,ENSG00000142546,-
20,36236130,36236131,Q9Y312,ENSG00000131043,+
X,23766474,23766475,Q9Y305,ENSG00000123130,-
16,2520364,2520365,Q9Y303,ENSG00000162066,+
14,73949925,73949926,Q9Y2Z9,ENSG00000119723,+
12,32755896,32755897,Q9Y2Z4,ENSG00000139131,-
6,73461577,73461578,Q9Y2Z2,ENSG00000135297,+
13,52652835,52652836,Q9Y2Z0,ENSG00000165416,+
