PG.ProteinAccessions	PG.Genes	PG.ProteinDescriptions	PG.ProteinNames	PG.Qvalue	[1] hela_DIA9_S1-A9_1_9613.d.PG.Quantity	[2] hela_DIA10_S1-A10_1_9640.d.PG.Quantity	[3] hela_DIA11_S1-A11_1_9667.d.PG.Quantity	[4] hela_DIA12_S1-A1_1_9711.d.PG.Quantity	[5] hela_DIA13_S1-A2_1_9731.d.PG.Quantity	[6] hela_DIA1_S1-A5_1_9193.d.PG.Quantity	[7] hela_DIA2_S1-A6_1_9227.d.PG.Quantity	[8] hela_DIA3_S1-A1_1_9268.d.PG.Quantity	[9] hela_DIA4_S1-A2_1_9308.d.PG.Quantity	[10] hela_DIA5_S1-A3_1_9353.d.PG.Quantity	[11] hela_DIA6_S1-A6_1_9491.d.PG.Quantity	[12] hela_DIA7_S1-A7_1_9531.d.PG.Quantity	[13] hela_DIA8_S1-A8_1_9571.d.PG.Quantity
A0MZ66	SHTN1	Shootin-1	SHOT1_HUMAN	0	620.0067139	591.1079712	584.2595825	545.473877	506.7809143	486.7797852	479.9855652	578.8082275	526.880127	536.0505981	548.5366211	525.2124023	547.1654053
A0PJW6	TMEM223	Transmembrane protein 223	TM223_HUMAN	0	264.5243225	309.6981812	329.4386292	383.0591125	352.8451843	184.0180817	200.56987	183.1823273	174.8346863	220.7317963	186.9681396	217.0183563	191.0206451
A1A4S6	ARHGAP10	Rho GTPase-activating protein 10	RHG10_HUMAN	0	56.17220688	62.67855072	56.26704025	77.4532547	61.15793991	32.19155502	31.41213226	33.96081161	48.93482208	41.74562073	49.88535309	46.03583908	56.55363464
A1KXE4	FAM168B	Myelin-associated neurite-outgrowth inhibitor	F168B_HUMAN	0.000474458	65.98371887	66.95474243	95.94458771	210.8109894	211.861557	271.2922058	203.9417877	89.81365967	109.3480072	100.0814514	71.6076889	118.258522	68.43017578
A1L0T0	ILVBL	2-hydroxyacyl-CoA lyase 2	HACL2_HUMAN	0	250.0626373	249.5697937	227.7668762	254.0348969	217.2704315	241.1049957	223.7229156	236.8158112	240.1144867	239.456604	234.4605255	226.2806091	226.1528625
A1L188	NDUFAF8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	NDUF8_HUMAN	0	50.60663605	81.17371368	87.23181152	121.7327423	112.5358963	84.90651703	100.0921173	75.93735504	58.14796448	76.09420776	64.06202698	62.82517242	64.20080566
A1L390	PLEKHG3	Pleckstrin homology domain-containing family G member 3	PKHG3_HUMAN	0	188.2262268	183.4609985	170.3944702	167.5875549	194.8933716	164.9439392	168.3686829	154.5102692	158.9146576	157.9301758	145.4862061	147.1031342	167.1259766
A1X283	SH3PXD2B	SH3 and PX domain-containing protein 2B	SPD2B_HUMAN	0	627.2869263	658.2697754	601.8920288	556.5946045	560.8145142	594.9290161	603.2089233	671.2595825	638.0046387	620.7976074	646.2329102	616.2940063	675.0079346
A2RRP1	NBAS	NBAS subunit of NRZ tethering complex	NBAS_HUMAN	0	118.1284714	119.5174637	102.2149353	104.1882095	118.9304276	117.2242279	126.6189117	116.5033417	98.2568512	100.8956833	97.76667786	104.3649063	111.0843048
A2RUC4	TYW5	tRNA wybutosine-synthesizing protein 5	TYW5_HUMAN	0	191.233429	186.8347321	208.4768829	248.1686401	254.5639343	190.1459045	214.8173218	155.6918182	167.84198	140.1067505	204.479187	205.3296204	206.4249115
A2RUS2	DENND3	DENN domain-containing protein 3	DEND3_HUMAN	0	297.5147095	315.3176575	249.5332489	154.6317596	94.06033325	64.14256287	60.57639313	213.5878754	188.1610107	209.9342499	211.2768097	208.1633148	189.153244
A3KMH1	VWA8	von Willebrand factor A domain-containing protein 8	VWA8_HUMAN	0	777.6394653	763.5130005	817.053894	801.8379517	825.7056885	707.3126831	677.7661743	696.1501465	673.769104	676.930603	725.0566406	694.8485107	766.7374878
A3KN83	SBNO1	Protein strawberry notch homolog 1	SBNO1_HUMAN	0	661.1556396	612.5241699	682.3782959	545.423584	511.7590332	537.1768799	555.7191162	665.0142822	589.5943604	592.1816406	638.3707886	664.2485962	570.7290649
A4D1E9	GTPBP10	GTP-binding protein 10	GTPBA_HUMAN	0	327.8901062	292.302948	294.6272583	304.0927429	272.0931702	286.8056335	245.0733948	254.6362457	265.7378235	275.4112244	267.1099548	270.8526917	331.337738
A4D1P6	WDR91	WD repeat-containing protein 91	WDR91_HUMAN	0	224.9820862	226.2814178	226.5569	160.1284943	178.3506165	134.4985199	130.5577545	131.4400024	162.6218262	152.6983032	158.9182892	175.4332886	176.7344055
A4D2B0	MBLAC1	Metallo-beta-lactamase domain-containing protein 1	MBLC1_HUMAN	0.007568736	3.586458445	3.794808865	4.868074417	2.450337648	3.005808592	3.958743334	NaN	17.50335503	9.368581772	4.224411964	NaN	5.679866314	7.651311874
A5A3E0	POTEF	POTE ankyrin domain family member F	POTEF_HUMAN	0	1674.19458	1563.671387	1442.392578	3551.10791	3420.200195	3842.800293	2891.790283	1744.319824	1766.56189	1934.032837	1926.861206	1722.916626	1281.236938
A5D8V6	VPS37C	Vacuolar protein sorting-associated protein 37C	VP37C_HUMAN	0	225.9528961	268.0768738	229.3984985	155.5385284	163.3482666	134.3176117	141.2420959	NaN	NaN	182.3877106	208.2480927	208.0066681	221.9039459
A5PLL7	PEDS1	Plasmanylethanolamine desaturase	PDES1_HUMAN	0	319.5119324	276.6543579	283.9744263	259.5687866	223.5202637	269.6681519	182.1780853	269.6654053	219.7908173	269.3931885	215.9592285	250.7086334	241.4346161
A5PLN9	TRAPPC13	Trafficking protein particle complex subunit 13	TPC13_HUMAN	0	82.83739471	75.94584656	104.855484	102.4109497	141.6479492	69.55190277	101.2364731	119.2702942	75.22439575	94.16944122	109.3493118	123.264267	97.39352417
A5YKK6	CNOT1	CCR4-NOT transcription complex subunit 1	CNOT1_HUMAN	0	996.6254883	1022.743469	1019.218994	892.7147827	828.5095215	842.6530151	821.446106	986.3346558	1002.973572	922.9115601	935.1561279	1000.058838	996.8723755
A6NCE7;Q9GZQ8	MAP1LC3B2;MAP1LC3B	Microtubule-associated proteins 1A/1B light chain 3 beta 2;Microtubule-associated proteins 1A/1B light chain 3B	MP3B2_HUMAN;MLP3B_HUMAN	0	233.6326141	325.2446594	365.4367371	246.8083344	168.0404816	174.1751556	176.9460449	200.3032684	135.9754944	157.925827	186.6251221	183.2865448	134.9129486
A6NCV1	OR6C74	Olfactory receptor 6C74	O6C74_HUMAN	0.006961634	30.84311867	25.57664299	24.44366646	27.98658752	28.81837273	18.44887161	28.03137207	33.62675858	12.44433689	27.22683907	NaN	32.19559097	13.62685585
A6NCW0;A8MUK1;C9J2P7;C9JJH3;C9JLJ4;C9JPN9;C9JVI0;D6R901;D6R9N7;D6RA61;D6RBQ6;D6RCP7;D6RJB6;Q0WX57;Q7RTZ2	USP17L3;USP17L5;USP17L15;USP17L10;USP17L13;USP17L12;USP17L11;USP17L21;USP17L18;USP17L22;USP17L17;USP17L19;USP17L20;USP17L24;USP17L1	Ubiquitin carboxyl-terminal hydrolase 17-like protein 3;Ubiquitin carboxyl-terminal hydrolase 17-like protein 5;Ubiquitin carboxyl-terminal hydrolase 17-like protein 15;Ubiquitin carboxyl-terminal hydrolase 17-like protein 10;Ubiquitin carboxyl-terminal hydrolase 17-like protein 13;Ubiquitin carboxyl-terminal hydrolase 17-like protein 12;Ubiquitin carboxyl-terminal hydrolase 17-like protein 11;Ubiquitin carboxyl-terminal hydrolase 17-like protein 21;Ubiquitin carboxyl-terminal hydrolase 17-like protein 18;Ubiquitin carboxyl-terminal hydrolase 17-like protein 22;Ubiquitin carboxyl-terminal hydrolase 17-like protein 17;Ubiquitin carboxyl-terminal hydrolase 17-like protein 19;Ubiquitin carboxyl-terminal hydrolase 17-like protein 20;Ubiquitin carboxyl-terminal hydrolase 17-like protein 24;Ubiquitin carboxyl-terminal hydrolase 17-like protein 1	U17L3_HUMAN;U17L5_HUMAN;U17LF_HUMAN;U17LA_HUMAN;U17LD_HUMAN;UL17C_HUMAN;U17LB_HUMAN;U17LL_HUMAN;U17LI_HUMAN;U17LM_HUMAN;U17LH_HUMAN;U17LJ_HUMAN;U17LK_HUMAN;U17LO_HUMAN;U17L1_HUMAN	0.007111936	6669.364258	8712.969727	6938.834961	7743.458008	9170.665039	1495.736084	1583.47876	7035.240234	8031.093262	7270.811523	6041.979492	6289.620605	6610.208008
A6NDG6	PGP	Glycerol-3-phosphate phosphatase	PGP_HUMAN	0	1345.419067	1502.264893	1327.43103	1484.999023	1418.925537	1431.705811	1304.567627	1735.983887	1570.141235	1487.488647	1386.78894	1391.86792	1289.692627
A6NDL8	OR6C68	Olfactory receptor 6C68	O6C68_HUMAN	0.000474458	2.729384899	4.66737318	2.864973068	9.42848587	5.349807739	3.079526901	3.742576361	3.704137564	2.531974792	2.897237778	1.385748267	1.205901027	6.267101288
A6NDU8	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	RIMC1_HUMAN	0	80.69158936	81.75292969	81.99436951	62.34579849	64.28555298	128.3367157	125.7052383	81.70424652	86.29486084	83.16889191	79.19096375	69.66174316	82.5326767
A6NED2	RCCD1	RCC1 domain-containing protein 1	RCCD1_HUMAN	0	107.0428467	145.6699829	128.4593811	135.0351105	109.0867538	60.36834717	75.22984314	89.92339325	66.19577026	71.81267548	81.52313995	97.30848694	114.6849976
A6NHL2	TUBAL3	Tubulin alpha chain-like 3	TBAL3_HUMAN	0	142.0156708	228.1404572	163.8773041	134.7403717	108.2440109	185.2893372	144.0018921	111.7914658	129.5849609	83.61904907	90.9874115	140.6338043	132.8420105
A6NHR9	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMHD1_HUMAN	0	433.5407715	425.8841248	414.3122559	410.225647	408.578186	388.0809326	381.1091919	385.8060913	376.2813416	384.2759705	376.8172302	417.7196045	409.9672546
A6NHX0	CASTOR2	Cytosolic arginine sensor for mTORC1 subunit 2	CAST2_HUMAN	0	119.2519379	53.43900299	87.83132172	79.53814697	100.3246841	96.95114899	111.4771805	75.70527649	57.08077621	68.99630737	NaN	68.87860107	44.19950485
A6NIH7	UNC119B	Protein unc-119 homolog B	U119B_HUMAN	0	278.2390747	256.8731689	226.0817871	274.6192017	306.9897156	281.6360779	283.1045532	170.5099792	191.7846985	159.7882538	154.5057068	178.0843811	174.5483246
A6NJ78	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	MET15_HUMAN	0	41.27051163	50.84100342	55.61471558	34.10676575	47.85641098	41.41204071	44.9765625	35.97565079	30.86167336	33.34053802	33.76338196	41.7758255	43.00759888
A6NKF1	SAC3D1	SAC3 domain-containing protein 1	SAC31_HUMAN	0	264.335968	293.9789734	246.9420319	237.960144	276.2516174	308.3661499	242.4528961	295.4779968	278.9187622	281.715271	262.0760803	283.0769043	255.4568024
A6QL64;Q5JPF3	ANKRD36;ANKRD36C	Ankyrin repeat domain-containing protein 36A;Ankyrin repeat domain-containing protein 36C	AN36A_HUMAN;AN36C_HUMAN	0.003893475	2603.31958	2712.925781	1679.890625	1401.045654	809.6643677	1206.318848	1330.380615	2431.644531	2174.724609	2658.235596	2517.43457	2398.393799	2582.843994
A6ZKI3	RTL8C	Retrotransposon Gag-like protein 8C	RTL8C_HUMAN	0	377.5363464	323.4334717	247.0767059	142.7214508	120.9016266	129.8803406	112.430191	207.370697	198.5118713	226.9309692	234.963913	233.4127808	221.4943695
A7E2V4	ZSWIM8	Zinc finger SWIM domain-containing protein 8	ZSWM8_HUMAN	0	302.7258911	255.9156799	245.8492432	241.3196716	241.2574768	219.5772858	212.0731964	198.8848877	214.3075104	217.4219818	239.4399261	226.1614227	227.1830597
A8CG34	POM121C	Nuclear envelope pore membrane protein POM 121C	P121C_HUMAN	0	618.6193237	549.8287964	491.4196167	517.5949707	493.5842285	531.9069214	384.8089294	533.2042847	512.932373	542.3824463	609.5396729	537.4136353	603.3875122
A8MPP1;Q92771	DDX11L8;DDX12P	Putative ATP-dependent RNA helicase DDX11-like protein 8;Putative ATP-dependent RNA helicase DDX12	D11L8_HUMAN;DDX12_HUMAN	0	1124.107422	1004.598877	914.8082886	994.2539673	794.3588257	401.553894	501.4587097	708.088623	762.4074707	836.6676025	886.0236206	816.8947144	877.1878662
A8MQ03	CYSRT1	Cysteine-rich tail protein 1	CRTP1_HUMAN	0	286.196106	207.0786896	287.8598633	283.7900696	245.5420074	230.5717468	188.9714508	102.9846497	117.4446411	150.9719391	181.9398651	183.3965454	246.0843964
A8MWD9;P62308	SNRPGP15;SNRPG	Putative small nuclear ribonucleoprotein G-like protein 15;Small nuclear ribonucleoprotein G	RUXGL_HUMAN;RUXG_HUMAN	0	2176.608887	2438.371338	2593.191162	1350.067017	1671.285278	1965.630737	1959.42688	1350.605225	1512.072144	1795.390381	2103.47998	1733.075317	1773.722534
A8MXV4	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	NUD19_HUMAN	0	NaN	100.8113327	110.9971237	67.51287842	71.57563782	76.59525299	76.17228699	73.36837769	75.56187439	85.07888031	87.70027924	80.63184357	86.75783539
A8TX70	COL6A5	Collagen alpha-5(VI) chain	CO6A5_HUMAN	0.004810677	725.4647827	895.3083496	927.4160767	792.4308472	1246.316162	818.3376465	1076.134399	727.7025146	880.203125	1047.573364	1275.009521	772.5205078	NaN
A9QM74	KPNA7	Importin subunit alpha-8	IMA8_HUMAN	0	1234.890137	1231.256348	1208.640503	282.6405945	288.817627	272.2623901	313.2151489	836.6710205	913.8983765	944.6278687	1057.508423	1049.659912	1294.322021
A9UHW6	MIF4GD	MIF4G domain-containing protein	MI4GD_HUMAN	0	92.91396332	75.51490784	87.876297	90.60510254	113.5932083	76.16225433	89.70929718	74.68663788	75.15542603	96.17024994	82.70700836	86.30577087	92.48960876
B5ME19;Q99613	EIF3CL;EIF3C	Eukaryotic translation initiation factor 3 subunit C-like protein;Eukaryotic translation initiation factor 3 subunit C	EIFCL_HUMAN;EIF3C_HUMAN	0	4766.476563	4818.821777	4673.48584	4561.649902	4259.62207	4190.020996	3978.966309	4651.336914	4461.600098	4732.373047	4721.799316	4708.822754	4728.614746
B7ZAQ6;P0CG08	GPR89A;GPR89B	Golgi pH regulator A;Golgi pH regulator B	GPHRA_HUMAN;GPHRB_HUMAN	0	236.1673584	291.236908	331.506134	258.8938599	290.0127563	231.1766968	211.8032379	207.162796	272.1564026	261.2154236	290.5693665	267.0403748	247.7128296
C4AMC7;Q6VEQ5	WASH3P;WASH2P	Putative WAS protein family homolog 3;WAS protein family homolog 2	WASH3_HUMAN;WASH2_HUMAN	0	316.0250854	291.736145	298.9995728	250.5733337	306.9018555	308.5573425	329.5615234	282.5179443	232.092865	246.4448395	239.4698792	251.1180878	250.921875
C9JLW8	MCRIP1	Mapk-regulated corepressor-interacting protein 1	MCRI1_HUMAN	0	240.2580719	215.2590179	238.7454224	183.3321686	197.1014862	149.2208099	156.6743011	171.2532349	173.0030823	198.6374207	163.3568115	181.0711975	203.7970886
E9PAV3;Q13765	NACA	"Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha"	NACAM_HUMAN;NACA_HUMAN	0	7659.202148	8064.194824	7515.177246	5850.623047	6155.846191	6520.935547	6380.774902	6592.70459	7941.241699	7326.02832	7516.590332	7736.012695	5746.241211
E9PRG8	C11orf98	Uncharacterized protein C11orf98	CK098_HUMAN	0	329.9076233	335.3043213	404.522583	379.0282288	368.288147	487.1550903	550.1789551	425.6763306	309.1199036	323.3595581	325.0365906	370.4293823	368.3964233
L0R6Q1	SLC35A4	SLC35A4 upstream open reading frame protein	S35U4_HUMAN	0	1205.098511	1115.981445	1147.957153	941.795166	700.6447144	760.9591064	759.6175537	836.0855103	888.1986084	877.5844727	931.4227295	1049.947266	910.8637085
L0R819	ASDURF	ASNSD1 upstream open reading frame protein	ASURF_HUMAN	0	265.6077881	245.5014191	261.8675537	221.5927277	180.9255829	152.3035889	223.8219299	185.5744171	192.4312286	156.5336456	194.9025421	211.7490387	231.7848816
L0R8F8	MIEF1	MIEF1 upstream open reading frame protein	MIDUO_HUMAN	0	442.5190735	448.6465759	390.8326721	279.7394714	254.7762299	219.5215149	238.2147675	373.8253784	318.5531006	312.60672	317.3492126	354.6011353	362.8185425
O00115	DNASE2	Deoxyribonuclease-2-alpha	DNS2A_HUMAN	0	382.6896973	382.9621277	365.8839722	448.7298584	369.9595032	470.5411072	338.0860596	252.8403778	271.6363831	243.8424377	233.9873199	265.5724182	250.8451996
O00116	AGPS	"Alkyldihydroxyacetonephosphate synthase, peroxisomal"	ADAS_HUMAN	0	716.5944824	736.178772	713.7528687	745.7469482	976.1177368	1047.144165	994.0623169	716.1437988	755.0543823	737.1890869	720.1525269	740.7860718	718.2288818
O00139	KIF2A	Kinesin-like protein KIF2A	KIF2A_HUMAN	0	864.9379883	847.8806152	831.5585938	945.0756836	900.3343506	773.9901123	806.9087524	812.8390503	873.7675781	766.9420776	814.9144897	859.6885986	855.1304321
O00148	DDX39A	ATP-dependent RNA helicase DDX39A	DX39A_HUMAN	0	387.3043213	387.5150452	378.8634949	335.3996582	340.4690857	415.5072327	422.4648438	398.5451355	455.8662415	369.2303772	388.3560791	370.8687134	398.4413147
O00151	PDLIM1	PDZ and LIM domain protein 1	PDLI1_HUMAN	0	1460.480591	1548.124634	1493.329102	1619.149292	1886.516724	1837.47583	2003.743652	1498.727539	1701.967041	1389.526733	1525.220215	1529.51416	1414.265015
O00154	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	BACH_HUMAN	0	2416.551025	2377.186768	2370.676514	2199.893311	2225.170166	2487.241211	2363.795166	2399.543701	2497.600342	2396.36084	2454.060547	2369.998535	2445.485352
O00159	MYO1C	Unconventional myosin-Ic	MYO1C_HUMAN	0	1881.212158	1895.993896	1821.160522	1814.776489	1730.022705	1882.932251	1991.710083	2010.80127	1994.213135	1956.819824	1912.524536	1911.426392	1857.834106
O00161	SNAP23	Synaptosomal-associated protein 23	SNP23_HUMAN	0	507.3696899	519.8786621	519.2779541	490.7380981	466.8088989	552.5183716	596.7424316	501.025177	527.2688599	492.9885254	473.5978394	496.0682678	498.2079468
O00165	HAX1	HCLS1-associated protein X-1	HAX1_HUMAN	0	443.988678	465.8696289	495.6191101	489.0101929	514.1157837	392.4768677	400.962616	373.5652466	336.9931641	420.2035522	415.0588379	426.9345398	424.1395569
O00170	AIP	AH receptor-interacting protein	AIP_HUMAN	0	1639.213989	1610.355957	1600.599365	1373.928223	1372.03894	1398.543945	1433.247192	1518.674561	1507.963013	1530.191772	1346.914307	1606.261108	1551.34375
O00178	GTPBP1	GTP-binding protein 1	GTPB1_HUMAN	0	353.0334778	341.4602051	337.3944092	238.2690582	271.5937805	354.1986084	315.8294678	392.5136108	397.8309631	370.5745239	341.2645264	377.6491699	355.7512207
O00180	KCNK1	Potassium channel subfamily K member 1	KCNK1_HUMAN	0	108.1614075	59.60118484	82.74159241	113.4934921	118.4888992	118.43927	135.7185364	88.22676086	58.3217392	93.98688507	55.29005051	61.51811981	51.39149857
O00186	STXBP3	Syntaxin-binding protein 3	STXB3_HUMAN	0	313.6079407	298.9200439	308.5490112	272.1813965	258.5477295	252.2616882	250.6292877	270.3868713	268.1192322	263.8729858	266.9273682	266.565979	291.8450317
O00189	AP4M1	AP-4 complex subunit mu-1	AP4M1_HUMAN	0	241.0043793	265.2694702	241.6530609	176.0260925	222.4784546	209.0678101	173.5688324	220.4612885	185.2600403	194.7413635	177.7385406	175.6967773	256.6507874
O00193	SMAP	Small acidic protein	SMAP_HUMAN	0	85.16281891	83.23563385	68.00134277	70.73568726	103.3811798	103.9679031	102.6699066	64.17106628	60.89809036	97.83444977	87.55020142	80.35887909	83.77680206
O00203	AP3B1	AP-3 complex subunit beta-1	AP3B1_HUMAN	0	1176.003906	1160.773193	1167.42688	835.3291626	742.8743896	784.6072998	768.8286133	958.2738037	1032.109131	1018.649231	1069.490845	1094.054077	1053.658813
O00212	RHOD	Rho-related GTP-binding protein RhoD	RHOD_HUMAN	0	126.3940201	155.2157745	114.8038406	104.6905518	119.9132309	150.2706299	149.2685852	102.3238373	109.8805161	119.0258026	107.2296371	103.9503479	112.1098938
O00214	LGALS8	Galectin-8	LEG8_HUMAN	0	257.2209778	293.6018982	265.4121704	166.3688507	158.1226654	134.4485016	109.9822693	144.4199371	141.7163086	147.8527679	156.038208	185.8636627	183.4176483
O00217	NDUFS8	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"	NDUS8_HUMAN	0	657.8799438	660.3601685	653.6395874	718.6723633	704.1846924	549.7781372	546.357666	913.9435425	890.3917847	627.21698	579.7965088	677.8023071	674.1798706
O00220	TNFRSF10A	Tumor necrosis factor receptor superfamily member 10A	TR10A_HUMAN	0	49.47511292	50.77708435	44.91575241	72.4755249	89.18888855	82.63002014	60.06834412	43.85301971	38.90584946	43.74465942	41.2727356	47.97992706	44.16991043
O00231	PSMD11	26S proteasome non-ATPase regulatory subunit 11	PSD11_HUMAN	0	1924.620239	2037.355835	1980.540161	1588.084961	1465.261719	1590.303955	1608.3927	2072.937256	2014.008911	1907.594971	1870.223633	1991.241943	2013.82019
O00232	PSMD12	26S proteasome non-ATPase regulatory subunit 12	PSD12_HUMAN	0	962.1478882	1046.909546	1029.524414	947.6707153	894.6740723	1002.481628	984.645752	1209.114258	1197.948486	1128.456543	1102.278564	1073.290039	1063.427002
O00233	PSMD9	26S proteasome non-ATPase regulatory subunit 9	PSMD9_HUMAN	0	895.8223877	889.3969116	838.2903442	1043.187012	950.9414063	950.9814453	1013.377197	1020.531555	982.0195923	871.4576416	991.3650513	1002.854065	986.2819824
O00244	ATOX1	Copper transport protein ATOX1	ATOX1_HUMAN	0	307.343811	236.1534729	267.7475891	508.4500427	543.9588013	693.4095459	921.609436	329.1030579	292.8223877	323.6261292	285.9480896	287.8399353	289.88974
O00255	MEN1	Menin	MEN1_HUMAN	0	105.8217239	91.54130554	84.81098938	89.20307159	94.1346817	89.30614471	88.10034943	94.64633179	76.64537811	82.62153625	85.27365112	75.11582947	90.32419586
O00257	CBX4	E3 SUMO-protein ligase CBX4	CBX4_HUMAN	0.000474458	60.63107681	69.0348587	NaN	52.59317398	33.33742905	44.19753265	66.16809082	36.37256241	19.87492943	40.91088486	42.07344818	36.29660034	45.37764359
O00264	PGRMC1	Membrane-associated progesterone receptor component 1	PGRC1_HUMAN	0	1462.484619	1544.505859	1571.618164	1781.92688	1674.180054	1739.053833	1628.203979	1684.38208	1533.189209	1731.530029	1688.64856	1530.616455	1584.35144
O00267	SUPT5H	Transcription elongation factor SPT5	SPT5H_HUMAN	0	330.5893555	306.6879272	316.7892456	346.0191956	360.851593	366.7401428	331.2367554	308.8364868	322.8340454	305.0679016	303.4726257	311.681366	325.8726807
O00268	TAF4	Transcription initiation factor TFIID subunit 4	TAF4_HUMAN	0	42.90150833	56.84185028	59.92947769	39.36052704	44.19515228	51.63746643	50.08209229	71.23777771	49.17823792	43.26390839	50.63618469	44.06679916	43.98205566
O00273	DFFA	DNA fragmentation factor subunit alpha	DFFA_HUMAN	0	383.9311218	380.1555176	401.1339722	405.5013123	369.4608154	406.7847595	393.7215576	369.4291992	369.4906006	353.7884521	360.6867981	386.2356567	338.3359985
O00287	RFXAP	Regulatory factor X-associated protein	RFXAP_HUMAN	0	90.93502808	114.9833221	113.7516479	85.39552307	64.49582672	76.03575134	79.37689209	83.84143829	58.17028427	74.26725006	55.58043289	70.57730865	67.44711304
O00291	HIP1	Huntingtin-interacting protein 1	HIP1_HUMAN	0	19.38023376	65.9353714	49.27801132	31.39740753	37.89413071	37.65508652	27.73884583	59.9561882	41.21098709	47.55821991	NaN	53.96363831	43.94860077
O00299	CLIC1	Chloride intracellular channel protein 1	CLIC1_HUMAN	0	10276.06348	10268.97656	10909.41016	11220.67676	9820.408203	10676.85547	11568.04492	10173.00977	10509.0293	9634.300781	10893.93848	10690.78906	9787.03418
